,name,district,picture,role,spg_address_line1,spg_address_line2,spg_address_line3,spg_phone_number,dst_address_line1,dst_address_line2,dst_address_line3,dst_phne_number,bio,associate_reps
39,Robert Peters (D),13th,http://www.ilga.gov/images/members/{05AD9CBA-EA20-489D-9C33-3F39DC1F9B0C}.jpg,none,Senator 13th District,M121 Capitol  Building,"Springfield, IL   62706    ",(217) 782-5338,1509 E. 53rd St.,2nd Floor,"Chicago, IL  60615    ",(773) 363-1996,Years served:  Committee assignments: Committee of the Whole; Criminal Law; Financial Institutions; Human Services; Local Government (Vice-Chairperson); Telecommunications & InfoTechnology; Veterans Affairs.Biography: ,"['Curtis J. Tarver, II', 'Kambium Buckner']"
40,Sue Rezin (R),38th,http://www.ilga.gov/images/members/{45666230-B77D-4162-A45E-6AC5587C4E56}.jpg,Assistant Republican Leader,Senator 38th District,309J Capitol Building,"Springfield, IL   62706    ",(217) 782-3840,1421 North Division Street,"Morris, IL  60450    ",(815) 220-8720,Additional District Addresses,Years served:  Elected to the (House November 2010) Appointed to the (Senate December 2010)Committee assignments: Committee of the Whole; Education; Energy and Public Utilities (Minority Spokesperson); Executive; Government Accountability/Pensions; Revenue (Minority Spokesperson); Subcommittee on Special Issues (EX); Sub. on Interscholastic Athletics.Biography: ,"['David A. Welter', 'Lance Yednock']"
41,Dale A. Righter (R),55th,http://www.ilga.gov/images/members/{25A344E9-478E-40E1-8D41-CA34A8FCCD61}.jpg,Republican Caucus Chair,Senator 55th District,309M Capitol Building,"Springfield, IL   62706    ",(217) 782-6674,88 Broadway Ave.,Suite 1,"Mattoon, IL  61938    ",(217) 235-6033,(217) 235-6052 FAX,"['Darren Bailey', 'Chris Miller']"
42,Chapin Rose (R),51st,http://www.ilga.gov/images/members/{BA95E1D1-0570-4492-B739-D1F593F183FD}.jpg,Assistant Republican Leader,Senator 51st District,103B Capitol Building,"Springfield, IL   62706    ",(217) 558-1006,510 S. Staley Road,Suite D,"Champaign, IL  61822    ",(217) 607-1853,Additional District Addresses,"['Dan Caulkins', 'Brad Halbrook']"
43,Martin A. Sandoval (D),11th,http://www.ilga.gov/images/members/{88BB608C-BBD8-4A34-81A1-1932135188B6}.jpg,Majority Caucus Whip,Senator 11th District,111 Capitol Building,"Springfield, IL   62706    ",(217) 782-5304,5807 W. 35th Street,"Cicero, IL  60804    ",(708) 656-2002,(708) 656-7608 FAX,"Years served:  2003 - PresentCommittee assignments: Committee of the Whole; Energy and Public Utilities; Higher Education; Transportation; Subcommittee on Capital (TR) (Sub-Chairperson); Supplier Diversity, Special Com. On (Chairperson); Pension Investments Special Com. On; Executive.Biography: Fulltime state legislator, born in The Back of the Yards, graduate of Loyola University in Chicago where he earned a Bachelor's of Science in psychology; married (wife, Marina) has three children.

","['Celina Villanueva', 'Michael J. Madigan']"
44,"Elgie R. Sims, Jr. (D)",17th,http://www.ilga.gov/images/members/{1EAF7721-A189-4CD1-B31D-CD39F79DBD04}.jpg,none,Senator 17th District,417B  Capitol Building,"Springfield, IL   62706    ",(217) 782-3201,8658 S. Cottage Grove Ave.,Suite 404,"Chicago, IL  60619    ",(773) 933-7715,(773) 933-5498 FAX,"['Marcus C. Evans, Jr.', 'Nicholas K. Smith']"
45,Steve Stadelman (D),34th,http://www.ilga.gov/images/members/{47906765-AB0A-48BF-8C14-B5443B8F27C4}.jpg,none,Senator 34th District,121B  Capitol Building,"Springfield, IL   62706    ",(217) 782-8022,State of Illinois Building,"200 S. Wyman, Suite 301","Rockford, IL  61101    ",(815) 987-7557,"Years served:  2013 - PresentCommittee assignments: Committee of the Whole; Financial Institutions; Higher Education; Public Health; Revenue; Telecommunications & InfoTechnology (Chairperson); Transportation.Biography: Elected to the Senate in 2012; born Oct. 30, 1960; received a bachelor's degree from the University of Wisconsin-Madison; former news anchor/reporter in Rockford; full-time state legislator.

","['Maurice A. West, II', 'John M. Cabello']"
46,Brian W. Stewart (R),45th,http://www.ilga.gov/images/members/{9542D32E-E8F8-4E42-963E-23FC7621D747}.jpg,none,Senator 45th District,105C Capitol Building,"Springfield, IL   62706    ",(217) 782-0180,50 W. Douglas St.,Suite 1001,"Freeport, IL  61032    ",(815) 284-0045,(815) 232-0777 FAX,"['Andrew S. Chesney', 'Tom Demmer']"
47,Dave Syverson (R),35th,http://www.ilga.gov/images/members/{6FD168B8-C34B-4399-8E39-7373F7600882}.jpg,Deputy Republican Leader,Senator 35th District,105E Capitol Building,"Springfield, IL   62706    ",(217) 782-5413,State of Illinois Building,"200 S. Wyman, Suite 302","Rockford, IL  61101    ",(815) 987-7555,(815) 987-7563 FAX,"['Joe Sosnowski', 'Jeff Keicher']"
48,Jil Tracy (R),47th,http://www.ilga.gov/images/members/{21C0F860-E9DD-4215-A3AA-703E275C8526}.jpg,Republican Caucus Whip,Senator 47th District,103C  Capitol Building,"Springfield, IL   62706    ",(217) 782-2479,3701 East Lake Centre Drive,Suite 3,"Quincy, IL  62305    ",(217) 223-0833,(217) 223-1565 FAX,"['Norine K. Hammond', 'Randy E. Frese']"
49,Patricia Van Pelt (D),5th,http://www.ilga.gov/images/members/{71DA8897-D74A-4034-9A99-79C7FB2BD90E}.jpg,none,Senator 5th District,121A Capitol Building,"Springfield, IL   62706    ",(217) 782-6252,1016 W. Jackson Boulevard,"Chicago, IL  60607    ",(312) 888-9191,(312) 277-3716 FAX,"Years served:  2013 - PresentCommittee assignments: Agriculture; Committee of the Whole; Criminal Law; Energy and Public Utilities; Public Health (Chairperson); State Government; Oversight Medicaid Mang. Care, Spec; Subcommittee on CLEAR Compliance; Higher Education; Subcommittee on Prisons.Biography: first elected to the Senate in 2012; born Nov. 12, 1957, in Chicago. Bachelor's degree, Roosevelt University (1996); master's degree, Spertus Institute (1996); doctorate, Capella University (2009); earned her CPA.  Currently Chairperson with Ariix International.  She has one child.


","['Arthur Turner', 'Jawaharial Williams']"
50,Ram Villivalam (D),8th,http://www.ilga.gov/images/members/{DBF0BBF0-0E16-4C5F-894A-16C4A14CAF51}.jpg,none,Senator 8th District,M120 Capitol Building,"Springfield, IL   62706    ",(217) 782-5500,3851 W. Devon Ave.,"Chicago, IL  60659    ",(872) 208-5188,Additional District Addresses,"Years served:  Committee assignments: Appropriations I; Appropriations II; Committee of the Whole; Education; Human Services; Labor; Transportation (Vice-Chairperson); Subcommittee on Capital (TR); Supplier Diversity, Special Com. On; Pension Investments Special Com. On.Biography: Bachelor's degree in Political Science, George Washington University; Serves as President of the Indo-American Democratic Organization (IADO) and serves on the Board of Gun Violence Prevention PAC; Lives with his wife, Elizabeth, and his son, Rohan, in the North Mayfair neighborhood in the City of Chicago.

","[""John C. D'Amico"", 'Yehiel M. Kalish']"
51,Chuck Weaver (R),37th,http://www.ilga.gov/images/members/{984DFCEF-3D95-4524-9102-FAF8B6511BE4}.jpg,none,Senator 37th District,103A Capitol Building,"Springfield, IL   62706    ",(217) 782-1942,5415 University St.,Suite 105,"Peoria, IL  61614    ",(309) 693-4921,(309) 693-4923 FAX,"['Ryan Spain', 'Daniel Swanson']"
52,Craig Wilcox (R),32nd,http://www.ilga.gov/images/members/{E397F861-68AA-4CC2-9A23-50B9A8E13031}.jpg,none,Senator 32nd District,105D  Capitol Building,"Springfield, IL   62706    ",(217) 782-8000,5400 W. Elm St.,Suite 103,"McHenry, IL  60050    ",(815) 455-6330,(815) 679-6756 FAX,"['Steven Reick', 'Tom Weber']"
53,Toi W. Hutchinson (D),"Represented the 40th District



 

Former Springfield Office:Senator 40th District108A  Capitol BuildingSpringfield, IL   62706    (217) 782-7419 Former District Office:270 Main st.Park Forest, IL  60466    (708) 756-0882(708) 756-0885 FAXYears served:  Appointed January 2009 - November 2019Committee assignments: Biography: Born May 20, 1973; Graduated University of Illinois at Urbana with a Bachelor in English; J.D. Northern Illinois University, College of Law 2014, Former Olympia Fields Village Clerk;  Harvard Kennedy School of Government Executive Management Program (Women and Power) 2004,  2012 Edgar Fellow at University of Illinois at Urbana Institute of Government and Public Affairs; Chair of Senate Revenue Committee, lives in Olympia Fields with husband (Paul), 3 children (Paul Jr., Camryn, Ryan) and the family dog (Maisy)



",http://www.ilga.gov/images/members/{19F30FF0-35A9-4088-A1C7-345013518E09}.jpg,none,Senator 40th District,108A  Capitol Building,"Springfield, IL   62706    ",(217) 782-7419,270 Main st.,"Park Forest, IL  60466    ",(708) 756-0882,(708) 756-0885 FAX,"Years served:  Appointed January 2009 - November 2019Committee assignments: Biography: Born May 20, 1973; Graduated University of Illinois at Urbana with a Bachelor in English; J.D. Northern Illinois University, College of Law 2014, Former Olympia Fields Village Clerk;  Harvard Kennedy School of Government Executive Management Program (Women and Power) 2004,  2012 Edgar Fellow at University of Illinois at Urbana Institute of Government and Public Affairs; Chair of Senate Revenue Committee, lives in Olympia Fields with husband (Paul), 3 children (Paul Jr., Camryn, Ryan) and the family dog (Maisy)",[]
54,John G. Mulroe (D),"Represented the 10th District



 

Former Springfield Office:Senator 10th District127 Capitol BuildingSpringfield, IL   62706    (217) 782-1035 Former District Office:6232 N. Northwest HighwayChicago, IL  60631    (773) 763-3810(773) 763-3881 FAXYears served:  2010 - 2019 

Committee assignments: Biography: Born July 21, 1959, in Chicago; BBA, accounting, Loyola University; J.D., Loyola University School of Law; member of Chicago and Illinois State Bar associations; full-time attorney;  former assistant state's attorney and arbitrator for Cook County; certified public accountant; married (wife, Margaret), four children.





",http://www.ilga.gov/images/members/{D0BA1F92-B075-443F-B212-B1717250243B}.jpg,none,Senator 10th District,127 Capitol Building,"Springfield, IL   62706    ",(217) 782-1035,6232 N. Northwest Highway,"Chicago, IL  60631    ",(773) 763-3810,(773) 763-3881 FAX,"Years served:  2010 - 2019 

Committee assignments: Biography: Born July 21, 1959, in Chicago; BBA, accounting, Loyola University; J.D., Loyola University School of Law; member of Chicago and Illinois State Bar associations; full-time attorney;  former assistant state's attorney and arbitrator for Cook County; certified public accountant; married (wife, Margaret), four children.

",[]
